entrez	order	max_neg	min_neg	mean_neg	sd_neg	GO_P1	GO_P2	GO_P3	GO_P4	GO_P5	GO_P6	GO_P7	GO_P8	GO_P9	GO_P10	GO_P11	GO_P12	GO_P13	GO_P14	GO_P15	GO_P16	GO_P17
23408	16956	7.38825	6.53075	6.9548623853211	0.161693305674085	0.00351022358585374	0.00110952056427338	0.000256156080284239	0.000364011429398727	0.00196780927514552	0.0266446070393369	0.0889291722492082	0.00476883048931837	0.180183066563294	0.0295625641643642	0.0310183820756634	0.0526048960242408	0.049753683476861	0.143499701546843	1	1	1
84612	13601	6.703	5.743	6.20762385321101	0.185888795360481	2.09443853062107e-13	6.24682133836672e-06	6.4893253718596e-07	0.000197912407010933	1.50460326518827e-05	0.000177197469714084	4.24219487363758e-05	1.05373263349738e-08	2.77578316144296e-07	0.000219756307175627	6.52587661211182e-09	0.000720947026613854	1	0.000192696299564976	3.36832445412135e-07	3.2644989600281e-05	0.007745466856244
1973	9613	14.439	10.117	13.2141467889908	0.5363029966161	3.06562410510404e-07	2.80124709779187e-08	4.65002340395278e-07	0.000159572147689737	9.2296592610547e-08	6.76728809237519e-07	3.38715660927861e-09	5.78693355248086e-07	1.55214063917217e-07	8.32324555703752e-12	1.10093640938802e-06	4.02491911667407e-08	0.0334422065863331	0.000139081388499725	2.01130938325352e-05	2.62994870658075e-05	1
59284	17635	6.588	5.646	5.97894495412844	0.135882154475336	0.0727048032106394	1	1	1	0.0547153206543721	1	0.0762631869926795	0.0845153596418502	0.155678660718083	1	0.0264816050202654	1	1	1	0.00214225022283396	0.0101684683238111	0.00890283983656659
81553	15703	8.445	5.864	6.54328440366973	0.365115686682878	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6405	311	9.313	6.21	7.68756880733945	0.60266737903984	0.0787756276239944	1	1	1	1	1	0.082617686171751	0.0915227597234213	0.168020391851354	1	0.0287525163615048	1	1	0.00891137770053985	0.0723378460542143	1	1
9968	5044	8.175	6.498	7.57314678899083	0.292864265921063	7.82826175641798e-06	8.26702488765257e-09	1.56275512509163e-10	8.86969005061223e-06	0.0040778041741852	0.0382701579614687	0.00795403741044254	3.69896770899755e-07	9.21938846078761e-06	0.000846280212835412	0.0445082131748419	1.30697312508112e-08	1	7.10234016163516e-05	0.000215451950035338	0.0171887156403369	1
57158	15706	8.193333	6.036667	6.64561774311927	0.483873234496151	0.00277762443635981	0.0430694655017851	0.0211091322186122	0.0250192603272451	0.0015545484677771	0.0237175503944372	0.00306237035758978	0.000102692094317602	0.000695018714413505	0.0263193068716169	0.000351603087772547	0.0468954826539922	0.0443464370240509	0.12862070411138	4.92572585283873e-05	0.0106085156843783	0.00928837360267643
11023	6464	6.342	5.739	5.98308256880734	0.121289226449011	0.0417557919170386	0.000250546885398706	5.73378682375362e-05	0.0136266239151887	1	1	0.0438353373591891	0.0486714202413067	0.00394075494630658	0.0143390442657142	1	0.0256733669560931	1	1	1	1	1
10241	10519	8.972	6.318	7.93279816513761	0.382717470974601	1.34508082282567e-09	1.67040061039234e-08	7.49711003167178e-10	0.000125312151376053	5.50908427424346e-08	4.65002340395278e-07	2.24221876560492e-07	3.46184033324284e-07	1.04458779271437e-11	1.99154423103857e-09	0.000153732771923411	4.02930724652095e-06	0.000407930435822217	0.00368575675155814	1.27658801379582e-07	0.00708333877686051	1
1950	17061	6.694	5.876	6.16228440366972	0.152852451957164	0.000999518327026273	0.00538792286034705	0.00126984698819873	0.0614389488743138	6.74942176128616e-09	0.0582999487033248	2.73723781530634e-11	3.30993439162052e-28	8.25511430524088e-18	0.0645676595286584	6.74598711151635e-09	0.113254394729306	1	7.01933177122431e-16	4.9590271378197e-10	1.94273673676727e-06	0.0002265531525582
387836	2092	7.29	5.681	6.08369724770642	0.205808590712033	0.000156788946343909	0.0109403288295301	0.00531692727418831	0.00631122360450542	8.68804323838002e-05	0.0059798835656939	0.000173206361921844	1.06618113600407e-06	4.08165949626451e-08	1.7511703339546e-05	1.93521744741066e-05	0.0119299382123474	1	0.0338172033337025	1.07577614641498e-09	0.00266141625398386	0.00232906237992259
254394	12620	7.273	5.925	6.20311009174312	0.18469305564807	4.25333902742158e-05	7.27886194345371e-06	0.000153732771923411	1.48058893072979e-11	0.00118832359606377	0.0207821819569312	0.0023455789371838	6.80382952144519e-05	0.000464099237699465	0.000242726890162112	0.0242056373793176	2.17871785905914e-12	0.0389093313477546	0.113485783497971	0.0611190811677702	1	1
